iter	Passed	Remaining
728	7801	2900
729	7810	2888
730	7819	2877
731	7828	2866
732	7837	2854
733	7846	2843
734	7854	2831
735	7863	2820
736	7872	2809
737	7881	2798
738	7890	2786
739	7900	2775
740	7910	2764
741	7919	2753
742	7929	2742
743	7938	2731
744	7947	2720
745	7965	2712
746	7989	2705
747	8004	2696
748	8018	2687
749	8030	2676
750	8040	2665
751	8050	2654
752	8061	2644
753	8075	2634
754	8086	2624
755	8098	2613
756	8111	2603
757	8126	2594
758	8139	2584
759	8150	2573
760	8160	2562
761	8170	2551
762	8179	2540
763	8188	2529
764	8198	2518
765	8207	2507
766	8217	2496
767	8226	2485
768	8235	2473
769	8244	2462
770	8254	2451
771	8263	2440
772	8273	2429
773	8283	2418
774	8292	2407
775	8302	2396
776	8311	2385
777	8320	2374
778	8329	2362
779	8337	2351
780	8346	2340
781	8355	2329
782	8364	2317
783	8372	2306
784	8381	2295
785	8390	2284
786	8399	2273
787	8408	2262
788	8418	2251
789	8426	2240
790	8435	2228
791	8444	2217
792	8453	2206
793	8462	2195
794	8471	2184
795	8480	2173
796	8489	2162
797	8499	2151
798	8509	2140
799	8519	2129
800	8528	2118
801	8537	2107
802	8547	2096
803	8556	2085
804	8566	2075
805	8575	2064
806	8585	2053
807	8594	2042
808	8603	2031
809	8612	2020
810	8621	2009
811	8632	1998
812	8643	1988
813	8651	1976
814	8659	1965
815	8667	1954
816	8675	1943
817	8683	1932
818	8692	1921
819	8700	1909
820	8708	1898
821	8716	1887
822	8723	1876
823	8732	1865
824	8742	1854
825	8753	1843
826	8763	1833
827	8773	1822
828	8784	1811
829	8795	1801
830	8806	1790
831	8818	1780
832	8831	1770
833	8844	1760
834	8855	1749
835	8866	1739
836	8877	1728
837	8889	1718
838	8900	1707
839	8911	1697
840	8922	1686
841	8933	1676
842	8945	1665
843	8956	1655
844	8967	1644
845	8978	1634
846	8988	1623
847	8999	1613
848	9008	1602
849	9019	1591
850	9028	1580
851	9038	1570
852	9047	1559
853	9058	1548
854	9068	1537
855	9077	1527
856	9086	1516
857	9095	1505
858	9103	1494
859	9111	1483
860	9120	1472
861	9131	1461
862	9142	1451
863	9153	1440
864	9163	1430
865	9173	1419
866	9183	1408
867	9193	1398
868	9203	1387
869	9212	1376
870	9220	1365
871	9228	1354
872	9238	1343
873	9248	1333
874	9256	1322
875	9266	1311
876	9275	1300
877	9285	1290
878	9295	1279
879	9305	1268
880	9314	1258
881	9324	1247
882	9334	1236
883	9344	1226
884	9354	1215
885	9364	1204
886	9373	1194
887	9384	1183
888	9393	1172
889	9402	1162
890	9411	1151
891	9420	1140
892	9429	1129
893	9438	1119
894	9447	1108
895	9456	1097
896	9466	1086
897	9475	1076
898	9484	1065
899	9493	1054
900	9503	1044
901	9512	1033
902	9521	1022
903	9530	1012
904	9539	1001
905	9548	990
906	9557	979
907	9566	969
908	9576	958
909	9584	947
910	9594	937
911	9602	926
912	9612	915
913	9622	905
914	9631	894
915	9641	884
916	9650	873
917	9660	862
918	9670	852
919	9679	841
920	9689	831
921	9697	820
922	9707	809
923	9716	799
924	9726	788
925	9735	778
926	9744	767
927	9754	756
928	9763	746
929	9772	735
930	9781	724
931	9790	714
932	9799	703
933	9809	693
934	9818	682
935	9827	671
936	9836	661
937	9845	650
938	9854	640
939	9863	629
940	9872	619
941	9881	608
942	9890	597
943	9900	587
944	9909	576
945	9918	566
946	9927	555
947	9938	545
948	9952	534
949	9965	524
950	9977	514
951	9991	503
952	10002	493
953	10014	482
954	10024	472
955	10036	461
956	10049	451
957	10059	441
958	10069	430
959	10078	419
960	10088	409
961	10100	398
962	10110	388
963	10119	377
964	10128	367
965	10138	356
966	10148	346
967	10157	335
968	10166	325
969	10173	314
970	10183	304
971	10195	293
972	10205	283
973	10216	272
974	10227	262
975	10238	251
976	10250	241
977	10261	230
978	10272	220
979	10281	209
980	10292	199
981	10302	188
982	10312	178
983	10322	167
984	10331	157
985	10341	146
986	10353	136
987	10364	125
988	10373	115
989	10384	104
990	10399	94
991	10412	83
992	10423	73
993	10432	62
994	10442	52
995	10452	41
996	10461	31
997	10471	20
998	10479	10
999	10488	0
